iso3,year,rent_pct_gdp
IBD,2017,3.20075303024229
IBT,2017,3.37611669572786
IDA,2017,5.58019069414355
IDB,2017,5.70869654851297
IDN,2017,3.08016177152276
IDX,2017,5.474401486519
IMN,2017,0.0
IND,2017,1.98393401607656
IRL,2017,0.112833072357874
IRN,2017,17.4677964309489
IRQ,2017,39.2005542312932
ISL,2017,0.0002173865852928
ISR,2017,0.175795530138224
ITA,2017,0.0639986448910056
JAM,2017,1.52838623760003
JOR,2017,0.869000683008148
JPN,2017,0.0384458694582766
KAZ,2017,14.897596398127
KEN,2017,2.31435620783369
KGZ,2017,8.75574116357044
KHM,2017,1.93735308627642
KIR,2017,0.0929519614955758
KNA,2017,0.0
KOR,2017,0.0386022741681957
KWT,2017,36.7579336114171
LAC,2017,2.55729912410123
LAO,2017,4.97088233452954
LBN,2017,0.0019955562575097
LBR,2017,21.3240563239483
LBY,2017,22.1587604827104
LCA,2017,0.0188680203388547
LCN,2017,2.61604060077036
LDC,2017,7.50397708985086
LIC,2017,10.0749259884628
LIE,2017,0.0018650693100522
LKA,2017,0.0888765377568958
LMC,2017,3.34205014804175
LMY,2017,3.03324318262719
LSO,2017,6.29773888103094
LTE,2017,3.14804689647949
LTU,2017,0.408008846501474
LUX,2017,0.0096095712694907
LVA,2017,1.20722108099256
MAC,2017,0.0008165772439153
MAR,2017,3.29989896331367
MCO,2017,0.0
MDA,2017,0.260534449680804
MDG,2017,7.63973631390415
MDV,2017,0.005250919040168
MEA,2017,16.3365163442344
MEX,2017,2.36148896456378
MHL,2017,0.0
MIC,2017,2.93618983708717
MKD,2017,0.804308286542463
MLI,2017,7.81614668872422
MLT,2017,0.0
MMR,2017,7.82010371696471
MNA,2017,14.918274376577
MNE,2017,1.33941998042343
MNG,2017,17.0883999734036
MNP,2017,0.0
MOZ,2017,18.0510410834352
MRT,2017,9.09659277147784
MUS,2017,0.0033925221114426
MWI,2017,7.00371862797528
MYS,2017,6.23600042741287
NAC,2017,0.487062607309418
NAM,2017,3.35579400030648
NCL,2017,0.0171317828341953
NER,2017,9.37929042574549
NGA,2017,7.80498492445019
NIC,2017,2.7029582269273
NLD,2017,0.283564780405105
NOR,2017,5.33590347738304
NPL,2017,0.703261897013786
NRU,2017,0.0
NZL,2017,1.59353965038242
OED,2017,0.600488107895343
OMN,2017,21.3537653208209
OSS,2017,4.50849296261381
PAK,2017,1.10680683630599
PAN,2017,0.124276365709136
PER,2017,5.8962563954339
PHL,2017,0.964596437230551
PLW,2017,0.0
PNG,2017,16.0436340949199
POL,2017,3.06146096477289
PRE,2017,14.3199001573384
PRI,2017,0.0
PRT,2017,0.191626691576631
PRY,2017,1.68483913659766
PSE,2017,0.0
PSS,2017,4.05964752405338
PST,2017,0.489393008059388
PYF,2017,0.0058510925195806
QAT,2017,18.8986723864413
ROU,2017,0.884924035595192
RUS,2017,9.71546623895349
RWA,2017,6.01492971463291
SAS,2017,1.71673907196324
SAU,2017,24.4865557580774
SDN,2017,2.48029512284545
SEN,2017,3.21232528542185
SGP,2017,0.0004528888819046
SLB,2017,22.9192896376451
SLE,2017,14.9365306672881
SLV,2017,0.88816041131789
SMR,2017,0.0
SOM,2017,18.697269661953
SRB,2017,1.52263044010001
SSA,2017,8.19403289085129
SSF,2017,8.18585320771896
SST,2017,4.39039733691709
STP,2017,3.15239782697584
SUR,2017,19.7854729048857
SVK,2017,0.333116894336664
SVN,2017,0.268545994107094
SWE,2017,1.04602397797532
SWZ,2017,4.03940046980401
SXM,2017,0.0
SYC,2017,0.11671286310133
SYR,2017,3.11485462954234
TCA,2017,0.0044879974728214
TCD,2017,16.8846139020106
TEA,2017,1.65467569360821
TEC,2017,5.80932917416781
TGO,2017,7.77733835842081
THA,2017,1.63215260676224
TJK,2017,4.54778525164425
TKM,2017,13.0262092742703
TLA,2017,2.71500998384953
TLS,2017,44.8705165836223
TMN,2017,15.0649119562874
TON,2017,0.0540904435129096
TSA,2017,1.71673907196324
TSS,2017,8.18585320771896
TTO,2017,5.76137730000007
TUN,2017,2.51025972718522
TUR,2017,0.379263394718781
TUV,2017,0.0
TZA,2017,5.13616759488345
UGA,2017,12.1305147407764
UKR,2017,2.95421204623726
UMC,2017,2.82958034775573
URY,2017,1.82938511988003
USA,2017,0.427546323641111
UZB,2017,12.0271937236882
VCT,2017,0.0329828886778541
VIR,2017,0.458057890874122
VNM,2017,3.21350443557147
VUT,2017,0.902392843807671
WLD,2017,1.97722926144745
WSM,2017,0.482469410561221
XKX,2017,0.559517101853948
YEM,2017,1.89218639089041
ZAF,2017,3.8355856656622
ZMB,2017,13.2264399699464
ZWE,2017,6.09544838030308
ABW,2018,0.0018846916867828
AFE,2018,7.3129136471929
AFG,2018,0.855264249305936
AFW,2018,9.95407788879097
AGO,2018,32.045405604301
ALB,2018,1.71111628143642
AND,2018,0.0
ARB,2018,23.080358124179
ARE,2018,18.1866824883602
ARG,2018,2.0371251352841
ARM,2018,1.09866113638474
ASM,2018,0.0
ATG,2018,0.0
AUS,2018,5.22752063881788
AUT,2018,0.140755073164382
AZE,2018,27.6209320144449
BDI,2018,13.4317629933204
