iso3,curr_renew,curr_co2,new_renew,new_co2,delta_co2,pct_reduction
PHL,32.4,1.1010282829787157,62.4,1.0790273581639533,-0.022000924814762346,1.998216136214155
PHL,32.4,1.1010282829787157,82.4,1.0762030171701442,-0.024825265808571473,2.2547346142107574
PNG,56.9,0.8291560366782218,66.9,0.8269256413925549,-0.0022303952856669307,0.26899584481135497
PNG,56.9,0.8291560366782217,76.9,0.8250068275108233,-0.00414920916739836,0.5004135511116808
PNG,56.9,0.8291560366782217,86.9,0.8250068275108233,-0.00414920916739836,0.5004135511116808
PNG,56.9,0.8291560366782219,106.9,0.8250068275108234,-0.004149209167398471,0.5004135511116942
POL,11.6,8.109551349300947,21.6,8.094274647306502,-0.015276701994444863,0.18837912649460853
POL,11.6,8.109551349300947,31.6,8.054822185243168,-0.054729164057778945,0.6748728961744186
POL,11.6,8.109551349300947,41.6,8.042983930243171,-0.06656741905777608,0.8208520569206861
POL,11.6,8.109551349300949,61.6,8.04298393024317,-0.06656741905777963,0.8208520569207298
PRK,18.5,1.9468843438378778,28.5,1.9265166282308743,-0.020367715607003456,1.0461697774431087
PRK,18.5,1.9468843438378773,38.5,1.9044096428107566,-0.0424747010271207,2.181675617329721
PRK,18.5,1.9468843438378778,48.5,1.9044096428107564,-0.042474701027121364,2.1816756173297547
PRK,18.5,1.9468843438378778,68.5,1.9044096428107564,-0.042474701027121364,2.1816756173297547
PRT,30.5,4.980490817525391,40.5,4.978249044525392,-0.0022417729999988367,0.045011085897608084
PRT,30.5,4.980490817525391,50.5,4.978249044525391,-0.002241772999999725,0.04501108589762591
PRT,30.5,4.980490817525391,60.5,4.978249044525392,-0.0022417729999988367,0.045011085897608084
PRT,30.5,4.980490817525392,80.5,4.978249044525392,-0.002241772999999725,0.04501108589762591
PRY,62.5,1.1165256553139102,72.5,1.1127593227189103,-0.0037663325949999216,0.3373261131147963
